station,ap,rssi,num_sta,dist,cons_bat,associatedTo
sta2,ap2,-74.0,5,43.6,0.436,ap3
sta2,ap3,-52.0,4,6.4,0.064,ap3
sta3,ap1,-70.0,4,29.07,0.2907,ap4
sta3,ap4,-75.0,4,49.04,0.4904,ap4
sta3,ap2,-74.0,5,45.22,0.4522,ap4
sta1,ap1,-54.0,4,8.54,0.0854,ap1
sta1,ap2,-74.0,5,45.97,0.4597,ap1
sta2,ap2,-74.0,5,43.83,0.4383,ap3
sta2,ap3,-52.0,4,6.4,0.064,ap3
sta3,ap1,-71.0,4,30.02,0.3002,ap4
sta3,ap4,-75.0,4,47.13,0.4713,ap4
sta3,ap2,-75.0,5,47.13,0.4713,ap4
sta2,ap2,-74.0,5,43.83,0.4383,ap3
sta2,ap3,-52.0,4,6.4,0.064,ap3
sta3,ap1,-71.0,4,30.68,0.3068,ap4
sta3,ap4,-76.0,4,51.2,0.512,ap4
sta3,ap2,-73.0,5,41.48,0.4148,ap4
sta2,ap2,-74.0,5,45.22,0.4522,ap3
sta2,ap3,-48.0,4,5.0,0.05,ap3
sta3,ap1,-71.0,4,30.81,0.3081,ap4
sta3,ap4,-76.0,4,53.94,0.5394,ap4
sta3,ap2,-72.0,5,38.33,0.3833,ap4
sta2,ap2,-74.0,5,45.22,0.4522,ap3
sta2,ap3,-48.0,4,5.0,0.05,ap3
sta3,ap1,-73.0,4,35.17,0.3517,ap4
sta3,ap4,-76.0,4,51.35,0.5135,ap4
sta3,ap2,-72.0,5,39.46,0.3946,ap4
sta2,ap2,-74.0,5,46.4,0.464,ap3
sta2,ap3,-44.0,4,3.61,0.0361,ap3
sta3,ap1,-72.0,4,32.76,0.3276,ap4
sta3,ap4,-76.0,4,53.6,0.536,ap4
sta3,ap2,-72.0,5,37.85,0.3785,ap4
sta1,ap1,-63.0,4,16.28,0.1628,ap1
sta1,ap2,-75.0,5,49.65,0.4965,ap1
sta1,ap4,-77.0,4,56.44,0.5644,ap1
sta2,ap2,-74.0,5,45.79,0.4579,ap3
sta2,ap3,-51.0,4,6.08,0.0608,ap3
sta3,ap1,-72.0,4,33.24,0.3324,ap4
sta3,ap4,-76.0,4,51.62,0.5162,ap4
sta3,ap2,-72.0,5,39.81,0.3981,ap4
sta1,ap1,-63.0,4,16.4,0.164,ap1
sta1,ap2,-75.0,5,48.26,0.4826,ap1
sta1,ap4,-77.0,4,56.82,0.5682,ap1
sta2,ap2,-74.0,5,45.79,0.4579,ap3
sta2,ap3,-51.0,4,6.08,0.0608,ap3
sta3,ap1,-72.0,4,31.95,0.3195,ap4
sta3,ap4,-75.0,4,50.01,0.5001,ap4
sta3,ap2,-73.0,5,42.2,0.422,ap4
sta1,ap1,-64.0,4,18.36,0.1836,ap1
sta1,ap2,-74.0,5,45.79,0.4579,ap1
sta1,ap4,-77.0,4,56.36,0.5636,ap1
sta2,ap2,-74.0,5,46.14,0.4614,ap3
sta2,ap3,-53.0,4,7.0,0.07,ap3
sta3,ap1,-72.0,4,32.7,0.327,ap4
sta3,ap4,-75.0,4,48.05,0.4805,ap4
sta3,ap2,-74.0,5,44.15,0.4415,ap4
sta1,ap1,-63.0,4,17.0,0.17,ap1
sta1,ap2,-74.0,5,45.49,0.4549,ap1
sta2,ap2,-75.0,5,46.53,0.4653,ap3
sta2,ap3,-55.0,4,8.06,0.0806,ap3
sta3,ap1,-71.0,4,29.41,0.2941,ap4
sta3,ap4,-76.0,4,52.39,0.5239,ap4
sta3,ap2,-73.0,5,40.8,0.408,ap4
sta1,ap1,-64.0,4,17.46,0.1746,ap1
sta1,ap2,-74.0,5,44.1,0.441,ap1
sta2,ap2,-75.0,5,46.96,0.4696,ap3
sta2,ap3,-56.0,4,9.22,0.0922,ap3
sta3,ap1,-71.0,4,29.55,0.2955,ap4
sta3,ap4,-75.0,4,49.73,0.4973,ap4
sta3,ap2,-74.0,5,43.97,0.4397,ap4
sta1,ap1,-64.0,4,18.36,0.1836,ap1
sta1,ap2,-74.0,5,45.79,0.4579,ap1
sta1,ap4,-77.0,4,56.36,0.5636,ap1
sta3,ap1,-71.0,4,31.38,0.3138,ap4
sta3,ap4,-75.0,4,49.24,0.4924,ap4
sta3,ap2,-74.0,5,43.42,0.4342,ap4
sta1,ap1,-66.0,4,21.19,0.2119,ap1
sta1,ap2,-73.0,5,42.06,0.4206,ap1
sta1,ap4,-77.0,4,56.65,0.5665,ap1
sta2,ap3,-44.0,4,3.61,0.0361,ap3
sta2,ap2,-75.0,5,46.62,0.4662,ap3
sta3,ap1,-72.0,4,32.57,0.3257,ap4
sta3,ap4,-76.0,4,50.8,0.508,ap4
sta3,ap2,-73.0,5,41.0,0.41,ap4
sta1,ap1,-64.0,4,17.46,0.1746,ap1
sta1,ap2,-73.0,5,41.05,0.4105,ap1
sta2,ap3,-42.0,4,3.0,0.03,ap3
sta2,ap2,-75.0,5,47.63,0.4763,ap3
sta3,ap1,-71.0,4,30.81,0.3081,ap4
sta3,ap4,-76.0,4,53.94,0.5394,ap4
sta3,ap2,-72.0,5,38.33,0.3833,ap4
sta1,ap1,-63.0,4,16.76,0.1676,ap1
sta1,ap2,-73.0,5,42.44,0.4244,ap1
sta2,ap3,-53.0,4,7.0,0.07,ap3
sta2,ap2,-74.0,5,44.6,0.446,ap3
sta3,ap1,-71.0,4,30.08,0.3008,ap4
sta3,ap4,-76.0,4,53.15,0.5315,ap4
sta3,ap2,-72.0,5,39.56,0.3956,ap4
sta1,ap1,-63.0,4,16.76,0.1676,ap1
sta1,ap2,-73.0,5,42.44,0.4244,ap1
sta2,ap3,-53.0,4,7.28,0.0728,ap3
sta2,ap2,-74.0,5,43.28,0.4328,ap3
sta3,ap1,-71.0,4,31.58,0.3158,ap4
sta3,ap4,-77.0,4,54.74,0.5474,ap4
sta3,ap2,-72.0,5,37.11,0.3711,ap4
sta1,ap1,-66.0,4,20.62,0.2062,ap1
sta1,ap2,-73.0,5,40.31,0.4031,ap1
sta2,ap3,-52.0,4,6.4,0.064,ap3
sta2,ap2,-74.0,5,43.83,0.4383,ap3
sta3,ap1,-71.0,4,30.41,0.3041,ap4
sta3,ap4,-77.0,4,55.9,0.559,ap4
sta3,ap2,-71.0,5,36.4,0.364,ap4
sta1,ap1,-66.0,4,21.19,0.2119,ap1
sta1,ap2,-73.0,5,42.06,0.4206,ap1
sta1,ap4,-77.0,4,56.65,0.5665,ap1
sta2,ap3,-44.0,4,3.61,0.0361,ap3
sta2,ap2,-74.0,5,46.4,0.464,ap3
sta3,ap1,-72.0,4,32.39,0.3239,ap4
sta3,ap4,-77.0,4,55.58,0.5558,ap4
sta3,ap2,-71.0,5,35.9,0.359,ap4
sta1,ap1,-64.0,4,18.03,0.1803,ap1
sta1,ap2,-73.0,5,42.72,0.4272,ap1
sta2,ap3,-42.0,4,3.0,0.03,ap3
sta2,ap2,-75.0,5,47.63,0.4763,ap3
sta3,ap1,-72.0,4,33.06,0.3306,
sta3,ap2,-70.0,5,32.76,0.3276,
sta1,ap1,-65.0,5,19.42,0.1942,ap1
sta1,ap2,-73.0,5,39.96,0.3996,ap1
sta2,ap3,-28.0,4,1.0,0.01,ap3
sta2,ap2,-75.0,5,49.41,0.4941,ap3
sta3,ap1,-73.0,5,34.37,0.3437,ap1
sta3,ap2,-71.0,5,35.51,0.3551,ap1
sta3,ap4,-77.0,3,55.33,0.5533,ap1
sta1,ap1,-63.0,5,16.76,0.1676,ap1
sta1,ap2,-73.0,5,42.44,0.4244,ap1
sta2,ap3,-38.0,4,2.24,0.0224,ap3
sta2,ap2,-75.0,5,49.04,0.4904,ap3
sta3,ap1,-72.0,5,32.39,0.3239,ap1
sta3,ap2,-71.0,5,35.9,0.359,ap1
sta3,ap4,-77.0,3,55.58,0.5558,ap1
sta1,ap1,-65.0,5,19.31,0.1931,ap1
sta1,ap2,-74.0,5,43.05,0.4305,ap1
sta2,ap3,-44.0,4,3.61,0.0361,ap3
sta2,ap2,-75.0,5,48.92,0.4892,ap3
sta3,ap1,-71.0,5,31.26,0.3126,ap1
sta3,ap2,-71.0,5,35.17,0.3517,ap1
sta3,ap4,-77.0,3,56.72,0.5672,ap1
sta1,ap1,-66.0,5,21.47,0.2147,ap1
sta1,ap2,-74.0,5,45.18,0.4518,ap1
sta1,ap4,-77.0,3,54.23,0.5423,ap1
sta3,ap1,-71.0,5,30.41,0.3041,ap1
sta3,ap2,-71.0,5,36.4,0.364,ap1
sta3,ap4,-77.0,3,55.9,0.559,ap1
sta1,ap1,-66.0,5,20.12,0.2012,ap1
sta1,ap2,-74.0,5,44.78,0.4478,ap1
sta1,ap4,-77.0,3,55.54,0.5554,ap1
sta3,ap1,-71.0,5,29.61,0.2961,ap1
sta3,ap2,-72.0,5,37.64,0.3764,ap1
sta3,ap4,-77.0,3,55.11,0.5511,ap1
sta1,ap1,-63.0,5,16.76,0.1676,ap1
sta1,ap2,-73.0,5,42.44,0.4244,ap1
sta3,ap1,-70.0,5,28.86,0.2886,ap1
sta3,ap2,-72.0,5,38.9,0.389,ap1
sta3,ap4,-77.0,3,54.34,0.5434,ap1
sta1,ap1,-64.0,5,18.25,0.1825,ap1
sta1,ap2,-72.0,5,39.66,0.3966,ap1
sta3,ap1,-71.0,5,29.41,0.2941,ap1
sta3,ap2,-73.0,5,40.8,0.408,ap1
sta3,ap4,-76.0,3,52.39,0.5239,ap1
sta1,ap1,-66.0,5,20.22,0.2022,ap1
sta1,ap2,-72.0,5,38.59,0.3859,ap1
sta3,ap1,-71.0,5,29.41,0.2941,ap1
sta3,ap2,-73.0,5,40.8,0.408,ap1
sta3,ap4,-76.0,3,52.39,0.5239,ap1
sta1,ap1,-67.0,5,22.02,0.2202,ap1
sta1,ap2,-71.0,5,35.85,0.3585,ap1
sta3,ap1,-70.0,5,28.16,0.2816,ap1
sta3,ap2,-73.0,5,40.16,0.4016,ap1
sta3,ap4,-76.0,3,53.6,0.536,ap1
sta1,ap1,-65.0,5,19.1,0.191,ap1
sta1,ap2,-71.0,5,35.0,0.35,ap1
sta3,ap1,-69.0,5,26.93,0.2693,ap1
sta3,ap2,-72.0,5,39.56,0.3956,ap1
sta3,ap4,-77.0,3,54.82,0.5482,ap1
sta1,ap1,-65.0,5,19.1,0.191,ap1
sta1,ap2,-71.0,5,35.0,0.35,ap1
sta3,ap1,-69.0,5,26.93,0.2693,ap1
sta3,ap2,-72.0,5,39.56,0.3956,ap1
sta3,ap4,-77.0,3,54.82,0.5482,ap1
sta1,ap1,-66.0,5,20.02,0.2002,ap1
sta1,ap2,-71.0,5,35.23,0.3523,ap1
sta3,ap1,-68.0,5,24.52,0.2452,ap1
sta3,ap2,-72.0,5,38.48,0.3848,ap1
sta1,ap1,-67.0,5,23.0,0.23,ap1
sta1,ap2,-71.0,5,34.48,0.3448,ap1
sta3,ap1,-68.0,5,24.52,0.2452,ap1
sta3,ap2,-72.0,5,38.48,0.3848,ap1
sta1,ap1,-67.0,5,23.0,0.23,ap1
sta1,ap2,-71.0,5,34.48,0.3448,ap1
sta3,ap1,-69.0,5,25.32,0.2532,ap1
sta3,ap2,-72.0,5,37.16,0.3716,ap1
sta1,ap1,-66.0,5,21.1,0.211,ap1
sta1,ap2,-72.0,5,37.22,0.3722,ap1
sta3,ap1,-70.0,5,28.44,0.2844,ap1
sta3,ap2,-72.0,5,37.0,0.37,ap1
sta3,ap4,-77.0,3,56.29,0.5629,ap1
sta1,ap1,-65.0,5,19.92,0.1992,ap1
sta1,ap2,-73.0,5,41.68,0.4168,ap1
sta3,ap1,-70.0,5,28.86,0.2886,ap1
sta3,ap2,-72.0,5,38.9,0.389,ap1
sta3,ap4,-77.0,3,54.34,0.5434,ap1
sta1,ap1,-64.0,5,18.36,0.1836,ap1
sta1,ap2,-74.0,5,45.79,0.4579,ap1
sta1,ap4,-77.0,3,56.36,0.5636,ap1
sta3,ap1,-68.0,5,25.0,0.25,ap1
sta3,ap2,-73.0,5,40.31,0.4031,ap1
sta3,ap4,-77.0,3,55.36,0.5536,ap1
sta1,ap1,-64.0,5,17.69,0.1769,ap1
sta1,ap2,-75.0,5,49.93,0.4993,ap1
sta1,ap4,-77.0,3,55.07,0.5507,ap1
sta3,ap1,-70.0,5,28.86,0.2886,ap1
sta3,ap2,-72.0,5,38.9,0.389,ap1
sta3,ap4,-77.0,3,54.34,0.5434,ap1
sta1,ap1,-64.0,5,17.69,0.1769,ap1
sta1,ap2,-75.0,5,49.93,0.4993,ap1
sta1,ap4,-77.0,3,55.07,0.5507,ap1
sta3,ap1,-71.0,5,30.08,0.3008,ap1
sta3,ap2,-72.0,5,39.56,0.3956,ap1
sta3,ap4,-76.0,3,53.15,0.5315,ap1
sta1,ap1,-64.0,5,17.69,0.1769,ap1
sta1,ap4,-77.0,3,54.71,0.5471,ap1
sta3,ap1,-72.0,5,33.24,0.3324,ap1
sta3,ap2,-72.0,5,39.81,0.3981,ap1
sta3,ap4,-76.0,3,51.62,0.5162,ap1
sta1,ap1,-64.0,5,17.8,0.178,ap1
sta1,ap4,-77.0,3,55.47,0.5547,ap1
sta1,ap2,-75.0,5,48.55,0.4855,ap1
sta3,ap1,-71.0,5,30.41,0.3041,ap1
sta3,ap2,-71.0,5,36.4,0.364,ap1
sta3,ap4,-77.0,3,55.9,0.559,ap1
sta1,ap1,-65.0,5,18.79,0.1879,ap1
sta1,ap4,-77.0,3,56.86,0.5686,ap1
sta1,ap2,-74.0,5,44.42,0.4442,ap1
sta3,ap1,-71.0,5,31.26,0.3126,ap1
sta3,ap2,-71.0,5,35.17,0.3517,ap1
sta3,ap4,-77.0,3,56.72,0.5672,ap1
sta1,ap1,-64.0,5,17.46,0.1746,ap1
sta1,ap2,-73.0,5,41.05,0.4105,ap1
sta3,ap1,-72.0,5,32.76,0.3276,ap1
sta3,ap2,-72.0,5,37.85,0.3785,ap1
sta3,ap4,-76.0,3,53.6,0.536,ap1
sta1,ap1,-63.0,5,16.76,0.1676,ap1
sta1,ap2,-73.0,5,42.44,0.4244,ap1
sta3,ap1,-71.0,5,30.68,0.3068,ap1
sta3,ap2,-73.0,5,41.48,0.4148,ap1
sta3,ap4,-76.0,3,51.2,0.512,ap1
sta1,ap1,-62.0,5,15.13,0.1513,ap1
sta1,ap2,-73.0,5,40.61,0.4061,ap1
sta3,ap1,-69.0,5,26.4,0.264,ap1
sta3,ap2,-74.0,5,44.01,0.4401,ap1
sta3,ap4,-76.0,3,51.55,0.5155,ap1
sta1,ap1,-60.0,5,13.0,0.13,ap1
sta1,ap2,-73.0,5,40.36,0.4036,ap1
sta3,ap1,-69.0,5,26.93,0.2693,ap1
sta3,ap2,-73.0,5,42.72,0.4272,ap1
sta3,ap4,-76.0,3,52.2,0.522,ap1
sta1,ap1,-61.0,5,14.04,0.1404,ap1
sta1,ap2,-72.0,5,38.95,0.3895,ap1
sta2,ap3,-64.0,4,16.16,0.1616,ap3
sta2,ap4,-77.0,3,56.4,0.564,ap3
sta3,ap1,-70.0,5,28.16,0.2816,ap1
sta3,ap2,-73.0,5,40.16,0.4016,ap1
sta3,ap4,-76.0,3,53.6,0.536,ap1
sta1,ap1,-62.0,5,15.52,0.1552,ap1
sta1,ap2,-71.0,5,36.07,0.3607,ap1
sta2,ap3,-63.0,4,15.65,0.1565,ap3
sta2,ap4,-77.0,3,56.61,0.5661,ap3
sta3,ap1,-71.0,5,30.08,0.3008,ap1
sta3,ap2,-73.0,5,42.72,0.4272,ap1
sta3,ap4,-76.0,3,50.45,0.5045,ap1
sta1,ap1,-64.0,5,17.12,0.1712,ap1
sta1,ap2,-71.0,5,36.24,0.3624,ap1
sta2,ap3,-65.0,4,17.46,0.1746,ap3
sta2,ap4,-77.0,3,55.0,0.55,ap3
sta3,ap1,-71.0,5,30.08,0.3008,ap1
sta3,ap2,-73.0,5,42.72,0.4272,ap1
sta3,ap4,-76.0,3,50.45,0.5045,ap1
sta1,ap1,-63.0,5,17.0,0.17,ap1
sta1,ap2,-72.0,5,37.8,0.378,ap1
sta2,ap3,-65.0,4,17.46,0.1746,ap3
sta2,ap4,-77.0,3,55.0,0.55,ap3
sta3,ap1,-70.0,5,28.65,0.2865,ap1
sta3,ap2,-75.0,5,46.49,0.4649,ap1
sta3,ap4,-75.0,3,48.38,0.4838,ap1
sta1,ap1,-61.0,5,14.04,0.1404,ap1
sta1,ap2,-73.0,5,40.46,0.4046,ap1
sta2,ap3,-64.0,4,16.4,0.164,ap3
sta2,ap4,-77.0,3,55.76,0.5576,ap3
sta3,ap1,-70.0,5,28.65,0.2865,ap1
sta3,ap2,-75.0,5,46.49,0.4649,ap1
sta3,ap4,-75.0,3,48.38,0.4838,ap1
sta1,ap1,-62.0,5,15.13,0.1513,ap1
sta1,ap2,-72.0,5,37.54,0.3754,ap1
sta3,ap1,-70.0,5,27.73,0.2773,ap1
sta3,ap2,-74.0,5,44.6,0.446,ap1
sta3,ap4,-76.0,3,50.29,0.5029,ap1
sta1,ap1,-63.0,5,16.16,0.1616,ap1
sta1,ap2,-71.0,5,34.66,0.3466,ap1
sta2,ap3,-64.0,4,16.4,0.164,ap3
sta2,ap4,-77.0,3,55.76,0.5576,ap3
sta3,ap1,-68.0,5,25.08,0.2508,ap1
sta3,ap2,-74.0,5,43.46,0.4346,ap1
sta3,ap4,-76.0,3,52.81,0.5281,ap1
sta1,ap1,-63.0,5,16.16,0.1616,ap1
sta1,ap2,-71.0,5,34.66,0.3466,ap1
sta2,ap3,-63.0,4,14.87,0.1487,ap3
sta2,ap2,-75.0,5,49.41,0.4941,ap3
sta3,ap1,-70.0,5,27.73,0.2773,ap1
sta3,ap2,-74.0,5,44.6,0.446,ap1
sta3,ap4,-76.0,3,50.29,0.5029,ap1
sta1,ap1,-64.0,5,17.46,0.1746,ap1
sta1,ap2,-70.0,5,33.24,0.3324,ap1
sta2,ap3,-61.0,4,13.45,0.1345,ap3
sta2,ap2,-75.0,5,49.2,0.492,ap3
sta3,ap1,-69.0,5,25.94,0.2594,ap1
sta3,ap2,-74.0,5,45.31,0.4531,ap1
sta3,ap4,-76.0,3,50.92,0.5092,ap1
sta1,ap1,-64.0,5,18.25,0.1825,ap1
sta1,ap2,-71.0,5,34.83,0.3483,ap1
sta2,ap3,-60.0,4,12.53,0.1253,ap3
sta2,ap2,-74.0,5,46.23,0.4623,ap3
sta3,ap1,-69.0,5,26.4,0.264,ap1
sta3,ap2,-75.0,5,49.77,0.4977,ap1
sta3,ap4,-75.0,3,47.93,0.4793,ap1
sta1,ap1,-64.0,5,18.03,0.1803,ap1
sta1,ap2,-71.0,5,36.4,0.364,ap1
sta2,ap3,-58.0,4,10.05,0.1005,ap3
sta2,ap2,-74.0,5,43.14,0.4314,ap3
sta3,ap1,-70.0,5,28.02,0.2802,ap1
sta3,ap2,-75.0,5,49.04,0.4904,ap1
sta3,ap4,-75.0,3,47.17,0.4717,ap1
sta1,ap1,-63.0,5,17.0,0.17,ap1
sta1,ap2,-72.0,5,37.8,0.378,ap1
sta2,ap3,-53.0,4,7.28,0.0728,ap3
sta2,ap2,-74.0,5,45.97,0.4597,ap3
sta3,ap1,-71.0,5,29.68,0.2968,ap1
sta3,ap2,-75.0,5,48.38,0.4838,ap1
sta3,ap4,-75.0,3,46.49,0.4649,ap1
sta1,ap1,-64.0,5,17.12,0.1712,ap1
sta1,ap2,-72.0,5,39.41,0.3941,ap1
sta2,ap3,-55.0,4,8.06,0.0806,ap3
sta2,ap2,-74.0,5,44.55,0.4455,ap3
sta3,ap1,-70.0,5,28.65,0.2865,ap1
sta3,ap2,-75.0,5,46.49,0.4649,ap1
sta3,ap4,-75.0,3,48.38,0.4838,ap1
sta1,ap1,-64.0,5,18.25,0.1825,ap1
sta1,ap2,-72.0,5,39.66,0.3966,ap1
sta2,ap3,-55.0,4,8.06,0.0806,ap3
sta2,ap2,-74.0,5,43.19,0.4319,ap3
sta3,ap1,-71.0,5,30.41,0.3041,ap1
sta3,ap2,-74.0,5,45.88,0.4588,ap1
sta3,ap4,-75.0,3,47.8,0.478,ap1
sta1,ap1,-64.0,5,18.03,0.1803,ap1
sta1,ap2,-72.0,5,38.01,0.3801,ap1
sta2,ap3,-53.0,4,7.0,0.07,ap3
sta2,ap2,-74.0,5,44.6,0.446,ap3
sta3,ap1,-71.0,5,30.41,0.3041,ap1
sta3,ap2,-74.0,5,45.88,0.4588,ap1
sta3,ap4,-75.0,3,47.8,0.478,ap1
sta1,ap1,-64.0,5,18.03,0.1803,ap1
sta1,ap2,-72.0,5,38.01,0.3801,ap1
sta2,ap3,-56.0,4,9.22,0.0922,ap3
sta2,ap2,-73.0,5,41.77,0.4177,ap3
sta3,ap1,-72.0,5,32.76,0.3276,ap1
sta3,ap2,-75.0,5,48.51,0.4851,ap1
sta3,ap4,-74.0,3,44.64,0.4464,ap1
sta1,ap1,-64.0,5,18.03,0.1803,ap1
sta1,ap2,-72.0,5,38.01,0.3801,ap1
sta2,ap3,-49.0,4,5.39,0.0539,ap3
sta2,ap2,-74.0,5,44.82,0.4482,ap3
sta3,ap1,-72.0,5,33.6,0.336,ap1
sta3,ap4,-73.0,3,42.06,0.4206,ap1
sta1,ap1,-64.0,5,18.25,0.1825,ap1
sta1,ap2,-72.0,5,39.66,0.3966,ap1
sta2,ap3,-44.0,4,3.61,0.0361,ap3
sta2,ap2,-74.0,5,46.4,0.464,ap3
sta3,ap1,-73.0,5,35.23,0.3523,ap1
sta3,ap4,-73.0,3,41.48,0.4148,ap1
sta1,ap1,-62.0,5,15.52,0.1552,ap1
sta1,ap2,-73.0,5,42.2,0.422,ap1
sta2,ap3,-48.0,4,5.0,0.05,ap3
sta2,ap2,-74.0,5,45.0,0.45,ap3
sta3,ap1,-72.0,5,32.02,0.3202,ap1
sta3,ap4,-73.0,3,42.72,0.4272,ap1
sta1,ap1,-65.0,5,18.68,0.1868,ap1
sta1,ap2,-73.0,5,41.34,0.4134,ap1
sta2,ap3,-48.0,4,5.0,0.05,ap3
sta2,ap2,-75.0,5,47.17,0.4717,ap3
sta3,ap1,-73.0,5,36.62,0.3662,ap1
sta3,ap4,-73.0,3,40.26,0.4026,ap1
sta1,ap1,-68.0,5,23.77,0.2377,ap1
sta1,ap2,-73.0,5,42.95,0.4295,ap1
sta1,ap4,-76.0,3,54.08,0.5408,ap1
sta2,ap3,-56.0,4,9.22,0.0922,ap3
sta2,ap2,-74.0,5,43.42,0.4342,ap3
sta3,ap1,-74.0,5,36.89,0.3689,ap1
sta3,ap4,-73.0,3,41.0,0.41,ap1
sta1,ap1,-67.0,5,23.26,0.2326,ap1
sta1,ap2,-74.0,5,44.28,0.4428,ap1
sta1,ap4,-76.0,3,53.49,0.5349,ap1
sta2,ap3,-62.0,4,14.32,0.1432,ap3
sta2,ap2,-73.0,5,40.31,0.4031,ap3
sta3,ap1,-74.0,5,38.28,0.3828,ap1
sta3,ap4,-72.0,3,39.81,0.3981,ap1
sta1,ap1,-67.0,4,23.09,0.2309,ap1
sta1,ap2,-73.0,5,41.15,0.4115,ap1
sta1,ap4,-77.0,4,55.97,0.5597,ap1
sta2,ap3,-65.0,4,18.03,0.1803,ap3
sta2,ap2,-73.0,5,40.8,0.408,ap3
sta3,ap1,-74.0,4,38.01,0.3801,ap4
sta3,ap4,-72.0,4,39.05,0.3905,ap4
sta1,ap1,-68.0,4,23.77,0.2377,ap1
sta1,ap2,-72.0,5,39.81,0.3981,ap1
sta1,ap4,-77.0,4,56.61,0.5661,ap1
sta2,ap3,-64.0,4,16.28,0.1628,ap3
sta2,ap2,-74.0,5,45.22,0.4522,ap3
sta3,ap1,-74.0,4,39.41,0.3941,ap4
sta3,ap4,-72.0,4,37.85,0.3785,ap4
sta1,ap1,-67.0,4,23.09,0.2309,ap1
sta1,ap2,-71.0,5,36.24,0.3624,ap1
sta2,ap3,-63.0,4,14.87,0.1487,ap3
sta2,ap2,-75.0,5,47.76,0.4776,ap3
sta3,ap1,-74.0,4,37.64,0.3764,ap4
sta3,ap4,-72.0,4,37.64,0.3764,ap4
sta1,ap1,-66.0,4,20.02,0.2002,ap1
sta1,ap2,-72.0,5,36.89,0.3689,ap1
sta2,ap3,-65.0,4,18.03,0.1803,ap3
sta2,ap2,-75.0,5,47.8,0.478,ap3
sta3,ap1,-74.0,4,37.8,0.378,ap4
sta3,ap4,-72.0,4,38.33,0.3833,ap4
sta1,ap1,-64.0,4,18.25,0.1825,ap1
sta1,ap2,-72.0,5,39.66,0.3966,ap1
sta2,ap3,-66.0,4,19.1,0.191,ap3
sta2,ap2,-74.0,5,43.42,0.4342,ap3
sta3,ap1,-75.0,4,41.87,0.4187,ap4
sta3,ap4,-70.0,4,33.96,0.3396,ap4
sta1,ap1,-62.0,4,15.0,0.15,ap1
sta1,ap2,-72.0,5,39.05,0.3905,ap1
